,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
154,Douglas,41.3,-96.17,80.01,57,1,9.17,US,1598832382
155,Calbuco,-41.77,-73.13,44.6,87,40,4.7,CL,1598832439
156,Mokhsogollokh,61.47,128.92,57.13,88,93,3.8,RU,1598832439
157,Wilmington,34.23,-77.94,82.0,86,13,5.86,US,1598832192
158,Okha,53.57,142.95,56.25,70,41,14.63,RU,1598832440
159,Cabra,37.47,-4.44,69.01,33,0,3.06,ES,1598832209
160,Vestmannaeyjar,63.44,-20.27,52.09,93,100,34.58,IS,1598832440
161,Palana,59.12,159.97,51.85,76,28,10.0,RU,1598832441
162,Hauterive,46.09,3.45,57.2,93,90,3.36,FR,1598832441
163,Oktyabr'skiy,54.48,53.47,55.54,88,100,2.68,RU,1598832243
164,Panabá,21.28,-88.27,86.68,58,73,12.24,MX,1598832441
165,Sakakah,29.97,40.21,87.8,11,0,5.82,SA,1598832442
166,Clyde River,70.47,-68.59,44.6,93,1,13.87,CA,1598832194
167,Carnarvon,-24.87,113.63,57.2,100,0,8.88,AU,1598832217
168,Ilulissat,69.22,-51.1,40.05,70,0,5.03,GL,1598832263
169,Sandy Bay,-42.91,147.35,48.2,49,20,11.41,AU,1598832442
170,Burlington,39.88,-74.64,78.8,50,1,4.7,US,1598832320
171,Lata,40.16,-8.33,62.01,78,5,3.22,PT,1598832275
172,Laguna,38.42,-121.42,95.0,27,1,11.63,US,1598832187
173,Vaijāpur,19.92,74.73,72.79,86,39,8.03,IN,1598832443
174,Torbay,47.67,-52.73,71.01,94,90,13.87,CA,1598832201
175,Caibarién,22.52,-79.47,87.8,55,40,12.75,CU,1598832444
176,Kargasok,59.06,80.86,56.12,91,94,7.02,RU,1598832444
177,Kyzyl-Suu,42.34,78.0,57.36,46,0,6.91,KG,1598832444
178,Kibala,9.11,18.35,72.37,95,100,3.02,TD,1598832444
179,San Cristobal,7.77,-72.22,77.0,78,75,3.36,VE,1598832284
180,Paulo Ramos,-4.22,-45.18,81.34,46,0,5.86,BR,1598832388
181,Majene,-3.54,118.97,80.1,75,95,11.16,ID,1598832445
182,Sisimiut,66.94,-53.67,48.65,67,1,13.29,GL,1598832445
183,Comodoro Rivadavia,-45.87,-67.5,44.6,70,85,3.36,AR,1598832270
184,Vanavara,60.34,102.28,51.8,82,2,3.51,RU,1598832256
185,Seara,41.18,-7.8,57.0,7,24,3.62,PT,1598832446
186,Padang,-0.95,100.35,77.95,78,100,4.23,ID,1598832070
187,Bambous Virieux,-20.34,57.76,70.0,88,75,13.87,MU,1598832229
188,Abnūb,27.27,31.15,82.4,32,0,11.41,EG,1598832447
189,Sioux Lookout,50.1,-91.92,66.2,63,90,6.93,CA,1598832249
190,Sawākin,19.11,37.33,89.69,50,89,0.81,SD,1598832449
191,Nioro,13.35,-15.75,75.99,93,100,5.61,GM,1598832449
192,Alta Floresta,-9.88,-56.09,81.95,39,60,0.96,BR,1598832254
193,Porto Walter,-8.27,-72.74,78.01,65,61,1.52,BR,1598832450
194,Pisco,-13.7,-76.22,62.6,77,75,12.75,PE,1598832228
195,Hervey Bay,-25.3,152.85,68.0,64,11,3.36,AU,1598832450
196,Leningradskiy,69.38,178.42,36.21,91,100,4.59,RU,1598832289
197,Chui,-33.7,-53.46,43.36,78,91,4.07,UY,1598832215
198,Suntar,62.14,117.63,59.04,62,1,3.65,RU,1598832450
199,Baijiantan,45.63,85.18,69.75,33,0,3.67,CN,1598832426
200,Santa Cruz,30.42,-9.6,68.0,77,0,3.36,MA,1598832253
201,‘Ewa Beach,21.32,-158.01,89.6,43,20,11.41,US,1598832274
202,Thompson,55.74,-97.86,53.6,93,75,3.36,CA,1598832188
203,Cabo San Lucas,22.89,-109.91,91.4,78,20,11.41,MX,1598832004
204,Iqaluit,63.75,-68.51,44.6,81,20,5.82,CA,1598831922
205,Ferkessédougou,9.6,-5.2,71.78,92,54,4.99,CI,1598832452
206,Riyadh,24.69,46.72,80.6,26,17,1.88,SA,1598832001
207,Eirunepé,-6.66,-69.87,72.37,90,99,3.09,BR,1598832453
208,São Filipe,14.9,-24.5,78.03,81,60,10.96,CV,1598832203
209,Acajutla,13.59,-89.83,86.0,58,4,2.24,SV,1598832453
210,Qaanaaq,77.48,-69.36,29.19,82,0,3.96,GL,1598832194
211,Grindavik,63.84,-22.43,51.8,100,90,32.21,IS,1598832453
212,Balakhta,55.38,91.6,51.22,95,39,2.51,RU,1598832454
213,Slave Lake,55.28,-114.77,57.2,50,1,24.16,CA,1598832454
